Industry_Name,Number_of_Firms,CAGR_in_Net_Income_Last_5_years,CAGR_in_Revenues_Last_5_years,Expected_growth_in_Revenues_Next_2_years,Expected_Growth_in_EPS_Next_5_years,Gross_Margin,Net_Margin,EBITDA_Sales,Current_PE,PEG_Ratio,ROE_unadjusted
Environmental & Waste Services,58,0.130644444444445,-0.004016,0.408,0.131769230769231,0.3364,0.0672,0.1886,2307.04,2.98,0.139474914582367
Farming/Agriculture,36,0.1443,0.068413125,0.35475,0.235275,0.1361,0.0603,0.0794,20.27,0.65,0.266022246478569
Financial Svcs. (Non-bank & Insurance),223,0.210141636363636,0.112966666666667,0.126734907407407,0.24722619047619,0.8508,0.3233,0.1154,42.92,0.36,0.00275724965313107
Food Processing,92,0.0354215625,0.129876734693878,0.152570909090909,0.206264333333333,0.27,0.0844,0.1647,58.02,0.94,0.134438933083346
Food Wholesalers,15,-0.017912,0.17189,0.179157142857143,0.02705,0.1485,0.0069,0.0275,76.29,18.21,0.111801439860785
Furn/Home Furnishings,32,0.101208461538461,0.0619223529411765,0.15055625,0.161409090909091,0.2974,0.0764,0.1101,19.99,0.73,0.253984446303566
Green & Renewable Energy,20,-0.0645,-0.24637,0.22695,0.145,0.6292,-0.1978,0.5509,165.62,4.78,-0.24120240585876
Healthcare Products,244,0.144095454545454,0.189474925373134,0.837181111111111,0.120945454545455,0.5904,0.1292,0.2033,160.06,3.31,0.141820059480316
Healthcare Support Services,131,0.135717142857143,0.17964537037037,0.237873529411765,0.233776744186046,0.1483,0.0242,0.0527,47.86,0.9,0.146844362455184
Heathcare Information and Technology,142,0.317925,0.158682333333333,0.355543108108108,0.19459756097561,0.5249,0.1664,0.1866,119.46,1.68,0.197382201039529
Homebuilding,29,0.375684210526316,0.202543333333333,0.2431125,0.368789473684211,0.2487,0.1273,0.1464,17.59,0.26,0.273755775748383
Hospitals/Healthcare Facilities,31,0.206028571428571,-0.0164785,0.142568421052632,0.14213,0.3678,0.0723,0.1393,20.77,0.81,0.957070070590925
Hotel/Gaming,66,0.0639911111111111,0.0217989473684211,0.55378,0.532538461538462,0.5545,-0.2856,-0.0907,637.19,1.29,-0.402098861098348
Household Products,118,0.145236666666667,0.1170288,0.400177096774194,0.265059285714286,0.5013,0.1245,0.2199,43.54,1.1,0.359450833205394
Information Services,79,0.0926115,0.131245882352941,0.189922888888889,0.153392,0.5383,0.1692,0.2744,85.83,2.71,0.175068628747825
Insurance (General),23,0.2824,0.0592730769230769,0.189708,0.2585,0.3452,0.1264,0.1594,40.72,0.58,0.135041862550136
Insurance (Life),24,0.0735341666666667,0.064553,0.158696,0.0245888888888889,0.3089,0.0887,0.085,21.21,3.26,0.078577035183129
Insurance (Prop/Cas.),52,0.1549259375,0.041376,0.0759215789473684,0.103121428571429,0.3284,0.103,0.1301,30.9,0.98,0.156388822465635
Investments & Asset Management,687,0.291821951219512,0.115798870967742,0.140742857142857,0.162481481481482,0.6947,0.2518,0.1282,72.9,0.82,0.237690589321354
Machinery,111,0.0426473469387755,0.0529565753424657,0.165718644067797,0.114871739130435,0.3542,0.1079,0.1599,69.64,2.25,0.211342736323442
Metals & Mining,74,0.2765,0.165733333333333,0.343777777777778,0.5386,0.366,0.1192,0.1722,48.19,0.3,0.289568142792645
Office Equipment & Services,18,0.12412,0.00444857142857143,0.137755555555555,0.099,0.334,0.0255,0.0989,31.45,3.61,0.0850104909777591
Oil/Gas (Integrated),4,0,0.060275,0.312666666666667,0.45,0.3748,0.0092,0.0913,NULL,0.51,0.0114574451168283
Oil/Gas (Production and Exploration),183,-0.00489999999999999,0.174163678160919,0.550648148148148,0.222652173913044,0.5881,0.0279,0.2223,34.66,0.68,0.0330142482141898
Oil/Gas Distribution,21,0.3455,0.238908333333333,0.253376923076923,0.0732375,0.3602,0.0519,0.2969,81.19,2.88,0.0643651544190739
Oilfield Svcs/Equip.,100,0.25048,0.0104954098360656,0.297460350877193,0.092,0.0792,0.0155,0.0224,48.37,1.25,0.0562223479587347
Packaging & Container,26,0.130088235294118,0.0492033333333333,0.095034,0.145783333333333,0.2198,0.0575,0.1451,23.99,1.27,0.210178455085984
Paper/Forest Products,11,0.23125,0.015075,0.138178333333333,0.07,0.3045,0.1223,0.128,19.46,0.77,0.436709487797629
Power,50,0.15682,0.0433186666666667,0.0805915384615385,0.0558138235294118,0.4149,0.0906,0.3363,35.77,4.2,0.0814458535490443
Precious Metals,76,0.112,0.0797916666666667,0.284325,0.035,0.5243,0.1448,0.4193,30.55,6.85,0.0799167181012951
Publishing & Newspapers,21,0.191425,0.0151813333333333,0.0717777777777778,0.113383333333333,0.4265,0.0355,0.1067,41.41,1.99,0.0844333710604875
R.E.I.T.,238,0.175507461538462,0.0815932663316583,0.161851044776119,0.0990564102564103,0.6364,0.2177,0.4128,118.59,3.56,0.0781188680190913
Real Estate (Development),19,-0.655,-0.08428,11.4036666666667,0.49,0.2892,-0.0097,0.1052,270.18,0.2,-0.00461140322365932
Real Estate (General/Diversified),10,0.11799,0.091,0.038,NULL,0.478,0.1498,0.1135,34.41,NULL,0.0628983723156887
Real Estate (Operations & Services),51,0.211463636363636,0.0548619047619048,0.398666666666667,0.086485,0.4167,-0.0317,0.0277,91.59,2,-0.108147133302588
Recreation,60,0.2065065,0.0759968965517241,0.291483870967742,0.396384615384616,0.3932,0.0478,0.1045,46.62,0.49,0.227629325414736
Reinsurance,2,0.0099,0.10415,0.0514,NULL,0.2241,0.0461,0.0481,53.84,NULL,0.0582657814620548
Restaurant/Dining,70,0.0918033333333333,0.0470962790697674,0.295018421052632,0.265409090909091,0.3152,0.1263,0.1749,64.69,1.14,NULL
Retail (Automotive),32,0.30653125,0.146970588235294,0.392521739130435,0.155003076923077,0.222,0.0481,0.0621,24.4,0.96,0.471812508087125
Retail (Building Supply),16,0.343466666666667,0.174280833333333,0.169284615384615,0.150309090909091,0.3475,0.0963,0.1433,45.46,1.62,0.00974961389613809
Retail (Distributors),68,0.188282580645161,0.0409634042553191,0.163699459459459,0.214316,0.3034,0.054,0.0911,68.86,1.11,0.195467563417536
Retail (General),16,0.0626333333333333,0.0388784615384615,0.113530714285714,0.091825,0.2432,0.0265,0.0638,32.64,3.55,0.200581459342608
Retail (Grocery and Food),15,0.0970528571428572,0.0324125,0.0631233333333333,0.0472,0.2568,0.0111,0.0511,16.06,4.96,0.148800448846222
Retail (Online),60,0.37440125,0.102,0.190276551724138,0.445188235294118,0.4154,0.0726,0.1001,50.28,0.99,0.441097816955766
Retail (Special Lines),76,0.174523684210526,0.11783,0.149798113207547,0.257211538461538,0.309,0.0453,0.0471,130.63,0.68,0.352296973930694
Rubber& Tires,2,-0.0324,0.042015,0.282,NULL,0.2207,0.0171,0.0324,13.88,NULL,0.0958543609243286
Semiconductor,67,0.336066666666667,0.0662516666666667,0.222502391304348,0.301402564102564,0.5524,0.2572,0.3592,113.32,0.99,0.319062435358094
Semiconductor Equip,34,0.431129411764706,0.139942413793103,0.326223076923077,0.177722222222222,0.4501,0.226,0.2777,59.61,1.45,0.463794299344806
Shipbuilding & Marine,8,0.674,0.163933333333333,0.2688,0.12,0.3068,0.0789,0.1255,17.27,0.54,0.102873047723847
Shoe,12,0.1143,0.0638,0.27505,0.274333333333333,0.4689,0.1257,0.1509,33.87,1.34,0.479087080810254
Software (Entertainment),88,0.162166666666667,0.22905962962963,0.346641935483871,0.2516,0.6445,0.2904,0.2477,77.72,1.03,0.314044023089958
Software (Internet),36,0.10545,0.2206,0.25845,0.266777777777778,0.61,-0.1036,0.1099,83.97,1.62,-0.112862680029177
Software (System & Application),375,0.230360465116279,0.1772226,0.416932444444444,0.221471304347826,0.7159,0.1966,0.2898,107.62,1.93,0.304674683634689
Steel,28,0.593222222222222,0.199733333333333,0.266014444444444,0.14135,0.2361,0.1096,0.0571,27.55,0.39,0.400476685558397
Telecom (Wireless),17,0.529,-0.0159628571428572,0.0807,0.195,0.5666,0.0482,0.2852,76.82,1.66,0.0593120167340909
Telecom. Equipment,82,0.089025,0.0665884482758621,0.234525641025641,0.159486363636364,0.5566,0.1496,0.2337,129.73,1.72,0.249287332050419
Telecom. Services,42,0.0813142857142857,0.1012185,0.19053125,0.1577,0.5533,0.078,0.326,80.56,0.92,0.104130390578702
Tobacco,16,0.0948,0.069115,0.179022,0.119566666666667,0.6287,0.2058,0.4332,18.79,1.65,NULL
Total Market,7229,0.176825236436038,0.117676838783706,0.413293386947108,0.19667431372549,0.3844,0.0984,0.138,90.9,1.15,0.181220512446678
Total Market (without financials),5619,0.157396312007918,0.11904171264421,0.499439565297581,0.20660410477224,0.3458,0.0819,0.1464,101.43,1.27,0.179575081285575
Transportation,17,0.1516625,0.108590909090909,0.14101,0.174714285714286,0.2125,0.0597,0.0822,44.7,1.25,0.402374239105201
Transportation (Railroads),4,0.1218,0.0167,0.1096,0.162666666666667,0.5598,0.289,0.4663,32.14,1.54,0.283481595433973
Trucking,34,0.325968421052632,0.0760318181818182,0.300468,0.619,0.2508,0.0185,0.0436,39.29,0.37,0.0554278412995035
Utility (General),16,0.110540769230769,0.027306875,0.0497066666666667,0.05255625,0.4006,0.1037,0.3339,21.12,4.46,0.0844414248964095
Utility (Water),14,0.0898755555555556,0.145791666666667,0.0628875,0.09312,0.552,0.1877,0.4258,65.57,4.3,0.104247160571157
